trial,k_r_amb,k_sigma_eps_A,k_c_th,T_target,T_peak,T_final,T_overshoot,t_95target,t_settle_5K,t_settle_10K,v_ctl_final,R_final
0,1.082186814566789,0.975551375900821,1.1075793759734147,742.7923985560018,742.710176,722.067958,-57.28982399999995,nan,0.891463028,0.720541883,-0.461344751,95.6947901
1,1.0592104087178091,0.8376709391550599,1.1426867054910268,756.1955475615837,764.597842,733.953152,-35.402157999999986,nan,0.973930794,0.821306852,-0.442357357,95.515936
2,1.0783419105971057,1.1144257221107816,0.8884340898026637,744.9988091516921,727.246749,726.061529,-72.75325099999998,nan,0.368132623,0.321399914,-0.498958228,95.9880087
3,0.9851157813686701,0.9483192096930325,1.1280294966545805,803.3039801695297,796.99578,784.909917,-3.004220000000032,0.26552388,0.736766115,0.545461198,-0.540024283,96.2859519
4,1.0431595360241994,1.129104645308332,0.9830242596481993,765.8793712283522,750.005804,748.08872,-49.99419599999999,nan,0.351882765,0.314249231,-0.534136217,96.2467234
5,0.918171616535433,1.021833914806334,0.8691451768312526,851.8231324180904,836.581214,836.27854,36.581214000000045,0.215749811,0.709955954,0.529876417,-0.632931855,96.8361509
6,1.0982893515977745,1.0526657596488258,1.0774263220256122,733.7058892307234,729.316797,713.567688,-70.68320300000005,nan,0.836526541,0.651343291,-0.467648663,95.7484009
7,0.9563577904389604,1.1882792097579613,1.1179363363966592,823.383795861131,808.652971,808.415175,8.65297099999998,0.250333103,0.448473875,0.363014399,-0.636838799,96.8443028
8,1.0835150491221284,0.8778554831407871,0.9900163011181102,742.0335232591747,740.012127,719.70151,-59.987873000000036,nan,0.906771321,0.727689984,-0.436890816,95.4354521
9,0.8631411297361686,0.8617157968270192,1.0549146859727363,896.845856521863,881.059624,880.80283,81.05962399999999,0.1678074,0.408762442,0.343704623,-0.644994006,96.8786599
10,1.073428646772345,1.187003892973684,0.9477476074414455,747.8393814375642,730.913754,729.869262,-69.08624599999996,nan,0.372224896,0.325440878,-0.520618906,96.1520878
11,0.9611379118104606,0.9878223245103231,0.9068414077252857,819.9698660310531,803.296346,802.779649,3.2963459999999714,0.267595946,0.481055056,0.378315998,-0.576187713,96.514662
12,0.8889764516006414,0.9902819704903735,0.9180728047152652,875.0726325178265,860.162904,859.961684,60.162904000000026,0.186181921,0.701799645,0.520700221,-0.657124174,96.9522267
13,1.050944198404753,0.9748607675489322,1.099803458817351,761.1488606019902,758.02204,741.281343,-41.97796000000005,nan,0.832449169,0.655378527,-0.486871506,95.9073365
14,1.0600795306006747,0.9249466565528164,1.0996779404185602,755.6788638313335,756.056311,734.845689,-43.94368899999995,nan,0.890470804,0.722555651,-0.465655919,95.7338656
15,1.0914293072490404,0.9549913516120698,0.9364984311790732,737.5468961581452,728.462737,716.211721,-71.53726300000005,nan,0.792789784,0.580102438,-0.449251535,95.5733813
16,1.0547486511924926,0.855900993443724,0.9099724607425325,758.8603007205605,750.198803,737.023248,-49.801197,nan,0.803976052,0.59943559,-0.451121676,95.5912547
17,0.8522086809253017,1.1147697510008554,1.0494552569776097,906.4232171074708,893.338906,893.328112,93.33890599999995,0.167821049,0.768908581,0.573563413,-0.741908775,97.2863063
18,1.0615496135879003,1.1122916124087872,0.987674732661502,754.8066806099314,740.542605,736.324136,-59.45739500000002,nan,0.324439105,0.296953274,-0.513133419,96.0980986
19,1.020622358785868,0.8559187992510631,0.884359022060792,779.9469857401098,766.761543,759.118475,-33.23845700000004,nan,0.665574704,0.277611729,-0.479095358,95.8358686
20,1.0505208885371413,0.988438482457253,1.0195708319443566,761.404440960024,752.807114,741.709472,-47.192886000000044,nan,0.748994829,0.531253575,-0.490848286,95.9349946
21,1.0794996572248077,1.0538873280002363,1.0160738201973987,744.3329165690106,734.903966,724.692398,-65.09603400000003,nan,0.737807348,0.490549079,-0.483212679,95.873719
22,1.017762148223624,0.9215800392250448,0.8592453503703817,781.7731251971883,764.346913,762.014499,-35.65308700000003,nan,0.343762795,0.308140784,-0.501101576,96.0051292
23,0.9810152167697086,0.8858338691278117,0.9725585931173908,806.1011287084863,793.715038,786.926266,-6.28496199999995,0.27469047,0.617706348,0.282735995,-0.524790449,96.1807568
