tube,gain,t_settle_2K_s,T_end_K,T_pk_K,V_int_op_V,V1_mV,H2_pct,H3_pct
iv18,5.0,1.753,799.58,799.78,-1.507,767,0.22,3.01
iv18,10.0,0.435,799.73,799.94,-1.51,767,0.57,3.01
iv6,10.0,0.244,799.8,801.14,-1.221,957,0.34,3.03
ilc11_7,10.0,0.119,800.75,808.65,-0.49,6229,0.47,7.82
ilc11_8,10.0,0.209,799.87,804.01,-1.116,1198,0.32,3.02
iv18,7.5,1.04268335,799.678485913791,799.884465,-1.508628020362091,766.9905528101605,0.3922945086218017,3.0144583320228917
iv18,12.5,0.30025663,799.7635093249922,807.321205,-1.511049714280112,767.074685049875,0.744845687715392,3.0133024487814257
iv18,15.0,0.29568196,799.7843491745518,813.946917,-1.512332695969248,767.196329002056,0.9212104159215102,3.0123247113671274
iv18,17.5,0.294724223,799.7949756995092,815.133338,-1.5128188783673084,767.2908935543742,1.0976845842545926,3.011471250282462
iv18,20.0,0.29467822,799.8055818248057,815.203688,-1.513899206274768,767.4349517729481,1.2740945658480924,3.0098506935651805
iv6,5.0,1.20317986,799.7321585650631,799.953833,-1.2195411905750284,956.974345375044,0.1166985943561416,3.040580395323645
iv6,7.5,0.742641629,799.7752481294077,800.000797,-1.2203618442388802,957.057929334113,0.21347573426401278,3.026840442115675
iv6,12.5,0.227402861,799.8064580588745,809.356449,-1.2215269943772344,957.1695301192659,0.45606955715318004,3.0378146548457736
iv6,15.0,0.225993833,799.8169161781188,811.999646,-1.2222026516649225,957.0868597895951,0.5930858957633057,3.027313639591923
iv6,17.5,0.225977275,799.8184590812986,812.534171,-1.2220209975500522,956.9953395182354,0.7066493952382898,3.044321267820587
iv6,20.0,0.225946724,799.8285909367993,812.607287,-1.2230545913999422,957.186785040394,0.8305691039010566,3.037824338353468
ilc11_7,5.0,0.402433471,800.7363779934847,801.002368,-0.490620061402089,6228.044424514928,0.41188680578968473,7.807942562065675
ilc11_7,7.5,0.12648131,800.743542486253,803.962417,-0.4906893462466555,6232.25891316514,0.4376127145207958,7.811417963042219
ilc11_7,12.5,0.116980507,800.7486674994108,809.626323,-0.49045994165527496,6228.033193019781,0.49898065198300257,7.835785485327771
ilc11_7,15.0,0.116135123,800.7498082861491,809.813184,-0.4901961138246465,6229.399674797727,0.5277393930501484,7.84165010860917
ilc11_7,17.5,0.116048692,800.7512140221911,809.682181,-0.49039889305560747,6230.458647807837,0.558231739354949,7.848868378230541
ilc11_7,20.0,0.116038264,800.7522229977395,809.438692,-0.4907271317240182,6231.593427084289,0.589250759111178,7.8563459306799786
ilc11_8,5.0,0.982450098,799.8168428349938,800.045354,-1.1152781268991283,1197.570763457424,0.08904709653428577,3.023531621074913
ilc11_8,7.5,0.561035987,799.8504611382532,800.081274,-1.116076762220829,1197.5450084706044,0.20459090287570036,3.023285946625444
ilc11_8,12.5,0.201277636,799.8763589818782,811.10676,-1.116808600253456,1197.5896350065664,0.4353140387298817,3.022928933614162
ilc11_8,15.0,0.200361185,799.8826736990717,812.68018,-1.1172922587907679,1197.6142757305684,0.550004230156291,3.0223834009873656
ilc11_8,17.5,0.200304989,799.8863536785468,812.947547,-1.117536309361235,1197.6206527544375,0.6653879546804726,3.0218755574532667
ilc11_8,20.0,0.20029345,799.8913785886223,812.857032,-1.117747305615563,1197.6311856539055,0.7811884648959113,3.0209805849574414
