alpha,peak_V,thd_fraction
2.899999999999999800e-01,4.567572336877769423e+00,1.266957388950416125e-02
2.909999999999999809e-01,4.586848581632321675e+00,1.263682281328181757e-02
2.919999999999999818e-01,4.605998183829678183e+00,1.260585712432083297e-02
2.929999999999999827e-01,4.624986348214508602e+00,1.257690066804303779e-02
2.939999999999999836e-01,4.643773655909395615e+00,1.255040410113157125e-02
2.949999999999999845e-01,4.662319120436878350e+00,1.252651466524696243e-02
2.959999999999999853e-01,4.680578385243521211e+00,1.250550123210170290e-02
2.969999999999999862e-01,4.698504594859426398e+00,1.248764346435445038e-02
2.979999999999999871e-01,4.716048988875400028e+00,1.247322837664045780e-02
2.989999999999999880e-01,4.733161656553728669e+00,1.246254602834678642e-02
2.999999999999999889e-01,4.749792389753360489e+00,1.245588287043045660e-02
3.009999999999999898e-01,4.765891715807753393e+00,1.245351616972580934e-02
3.019999999999999907e-01,4.781411971968381636e+00,1.245570708638270817e-02
3.029999999999999916e-01,4.796308435328674236e+00,1.246269465165793060e-02
3.039999999999999925e-01,4.810540341616492022e+00,1.247468885419235687e-02
3.049999999999999933e-01,4.824071853138154786e+00,1.249186575668119817e-02
3.059999999999999942e-01,4.836872821908226427e+00,1.251436323891971618e-02
3.069999999999999951e-01,4.848919336966705629e+00,1.254227809408839205e-02
3.079999999999999960e-01,4.860194030111670394e+00,1.257566478438644150e-02
3.089999999999999969e-01,4.870686127988135716e+00,1.261453556048126173e-02
3.099999999999999978e-01,4.880391273862095147e+00,1.265886203969001332e-02
